Time (s),Vibration_1,Vibration_2,Vibration_3
0.0,0.46604875679012997,0.09543373641749286,-0.49112981181607734
0.001,-1.3628713846584979,0.41907017566653115,0.9847717052686761
0.002,-0.47380551487001965,-0.7488765562651889,0.6130213471940491
0.003,1.04557421219564,1.1906655953635314,-0.3851320749637946
0.004,-0.731060759028589,-0.5774109074436333,-0.5227516632971236
0.005,1.1119987572472596,-1.2954316000533106,-0.6429792333158773
0.006,-1.926847887273539,0.020420277781200046,0.12738392299457207
0.007,-0.32822662790280804,0.5455365900203518,0.2903171261104325
0.008,2.4010796022350225,-1.9641432101003569,-1.5873593743582477
0.009,-0.5430637475797152,0.011844785161612062,-1.098559765010666
0.01,0.8010487649010433,1.2335430584614713,0.0435537493744105
0.011,0.9480372298315032,-2.0477321613562376,1.191991634055696
0.012,-1.2031531228640653,-0.4080891317769747,0.6161835323421537
0.013,-0.3607341114469937,1.4242814638919978,0.42161234414755233
0.014,1.2519393323614785,0.9441864879056828,0.2950765374302839
0.015,-0.8653339588266559,0.8220299216467581,-0.00707348019065237
0.016,1.1826810996517831,0.14259894582522675,-0.1383686982277724
0.017,-0.4455412969471581,0.5069468732322059,-0.10831180572308394
0.018,-0.616565245910735,0.09757760957238985,0.29665763000433615
0.019,1.3268504086557469,-0.17018551693871428,0.14004879718468485
0.02,-0.9261201920252831,0.3462005901851353,-0.10989289829713622
0.021,-0.9996216903563029,-0.36094602415434285,0.5718968066709945
0.022,1.677384837825549,-0.6202883705415734,0.13688661203658029
0.023,0.023644720572342938,0.5862480781782927,-1.122292287219145
0.024,-1.3289543231510639,-0.36308989730923985,0.272925107795857
0.025,0.05756178207977674,-1.2118426487974296,0.7791167354580142
0.026,-1.098553718952108,-0.5431310387503834,0.23970603014306416
0.027,-0.14729203800175472,-0.4402472291004296,-0.2933803048756769
0.028,1.106345913662687,-1.462609502565072,-1.4734723082333976
0.029,0.8674733099526627,0.474810877693853,-1.0574352244876113
0.03,0.18195340440352714,1.1306592488115175,0.5877077324115177
0.031,-0.2024254276158095,-0.0009963519826678788,0.3520120036938617
0.032,0.850514779198946,0.09328986326259588,1.3454382817272428
0.033,-1.5112839592837854,0.12544796058605082,1.4213629924771425
0.034,1.294342925111561,0.7877279511684061,-1.1539302722978857
0.035,0.35297735336710406,0.33548122441065026,-0.24593139405641312
0.036,-0.6618025263188934,-0.5431310387503834,0.7142596727264804
0.037,2.1494917333926056,-0.1573222780093323,0.95629590533804
0.038,-0.7593249769514504,-0.7145966875719391,0.17484896741153036
0.039,-1.443435304537338,-0.45954208749450265,-1.1460248094276242
0.04,0.25545490273454696,2.4680824689056107,0.6715540396293734
0.041,-2.561492200561524,1.4735905464546286,0.39631486296271545
0.042,0.11269517169383153,-0.031010576151225818,-0.5733788928621867
0.043,1.7084827434064864,-0.44667884856512063,-1.3421770901962777
0.044,-1.9862100107773382,0.056866121414448974,0.43585831091171745
0.045,0.31198333858026994,0.24762662863007753,0.6905432841156958
0.046,0.3020872293743735,0.10186535588218384,0.5244478958517304
0.047,-1.8406165920785467,-0.16804164378381728,0.5054586513654085
0.048,1.6576071511453356,-2.6242793275278156,-2.0823865524158722
0.049,1.2533489103247268,0.849878170875317,-1.4877021413998686
0.05,-0.40454728216032404,1.8636649517203718,0.9199146425371423
0.051,0.7332001101545956,-1.1432608096258279,1.1730023895693737
0.052,0.7614643280774575,-0.23235783843072716,0.30140090772649303
0.053,-1.907055668861746,2.534520434922315,0.4121257887032383
0.054,0.10845190607250735,1.0620774096399155,-0.10356852800092708
0.055,0.7826661244524984,0.3762148143536932,-0.48953258564433055
0.056,-0.4667430933221992,1.4971510493733935,0.6209268100643106
0.057,1.315544721486602,0.16618155052909372,0.7965248873702842
0.058,-0.3409418930352007,-1.7540878444906554,0.45641251437439784
0.059,-0.44978456256848237,-0.3695215167739308,-0.41677006004253536
0.06,0.8236601392393326,0.10829697534687484,-0.22061777927388168
0.061,-0.8738204900693044,0.3183523409565764,0.06886736415694193
0.062,-0.1487161476965827,-0.32237840915129895,0.8518953946575039
0.063,0.4264788516981239,1.2892616587036911,-0.03078986880143736
0.064,-0.5416541696164672,-1.3490063271406334,-0.48953258564433055
0.065,0.5763010042866596,-0.791754019363129,-0.44524585997317134
0.066,-0.3098439874542631,0.9034749997477419,0.09258375276772655
